id	py	js	notice
0	True	False	Failure
1	True	True	Success
2	False	False	Invalid
3	True	True	Success
4	True	False	Failure
5	True	False	Failure
6	True	False	Failure
7	True	False	Failure
8	True	True	Success
9	True	False	Failure
10	True	True	Success
11	True	True	Success
12	True	True	Success
13	True	True	Success
14	True	False	Failure
15	True	True	Success
16	True	True	Success
17	True	True	Success
18	True	True	Success
19	True	True	Success
20	True	True	Success
21	False	False	Invalid
22	True	False	Failure
23	True	True	Success
24	True	False	Failure
25	True	True	Success
26	True	False	Failure
27	True	True	Success
28	True	True	Success
29	True	False	Failure
30	True	False	Failure
31	True	True	Success
32	False	False	Invalid
33	True	False	Failure
34	True	False	Failure
35	True	False	Failure
36	True	True	Success
37	True	False	Failure
38	True	True	Success
39	True	True	Success
40	True	True	Success
41	True	True	Success
42	True	False	Failure
43	True	True	Success
44	True	True	Success
45	True	True	Success
46	True	True	Success
47	True	True	Success
48	True	True	Success
49	True	True	Success
50	True	True	Success
51	True	True	Success
52	True	True	Success
53	True	True	Success
54	True	True	Success
55	True	True	Success
56	True	True	Success
57	True	False	Failure
58	True	False	Failure
59	True	True	Success
60	True	True	Success
61	True	True	Success
62	True	False	Failure
63	True	True	Success
64	True	False	Failure
65	True	False	Failure
66	True	True	Success
67	True	True	Success
68	True	False	Failure
69	True	False	Failure
70	False	False	Invalid
71	True	True	Success
72	True	True	Success
73	True	False	Failure
74	True	True	Success
75	True	False	Failure
76	True	True	Success
77	True	True	Success
78	True	True	Success
79	True	True	Success
80	True	True	Success
81	False	False	Invalid
82	True	True	Success
83	True	True	Success
84	True	False	Failure
85	True	False	Failure
86	True	True	Success
87	True	True	Success
88	True	False	Failure
89	True	True	Success
90	True	False	Failure
91	True	True	Success
92	True	True	Success
93	True	False	Failure
94	True	True	Success
95	True	False	Failure
96	True	True	Success
97	True	True	Success
98	True	False	Failure
99	True	True	Success
100	True	True	Success
101	True	True	Success
102	True	True	Success
103	True	True	Success
104	True	False	Failure
105	True	False	Failure
106	True	True	Success
107	True	False	Failure
108	True	False	Failure
109	True	False	Failure
110	True	True	Success
111	True	True	Success
112	True	True	Success
113	True	False	Failure
114	True	True	Success
115	True	False	Failure
116	True	False	Failure
117	True	True	Success
118	True	False	Failure
119	True	False	Failure
120	True	True	Success
121	True	False	Failure
122	True	False	Failure
123	True	True	Success
124	True	False	Failure
125	True	True	Success
126	True	False	Failure
127	True	True	Success
128	True	False	Failure
129	True	False	Failure
130	True	True	Success
131	True	True	Success
132	True	True	Success
133	True	False	Failure
134	True	False	Failure
135	True	False	Failure
136	True	False	Failure
137	True	True	Success
138	True	True	Success
139	True	True	Success
140	True	True	Success
141	True	False	Failure
142	True	False	Failure
143	True	True	Success
144	True	True	Success
145	True	True	Success
146	True	False	Failure
147	True	True	Success
148	True	True	Success
149	True	False	Failure
150	True	True	Success
151	True	False	Failure
152	True	True	Success
153	True	True	Success
154	True	True	Success
155	True	True	Success
156	True	False	Failure
157	True	False	Failure
158	True	False	Failure
159	True	True	Success
160	True	True	Success
161	True	True	Success
162	True	True	Success
163	True	True	Success
valid rate: 159 / 164 (96.95121951219512 %)
success rate: 98/159 (61.63522012578616 %)
abnormal cases: []
invalid cases: [2, 21, 32, 70, 81]
